feature,importance
insured_hobbies_5,3.0663587868812874
incident_severity_Major Damage,2.4222421875917104
insured_hobbies_6,1.7216354707762673
insured_hobbies_4,1.406691533980201
auto_model_10,1.0802047568461965
incident_severity_Trivial Damage,1.0690819012545363
insured_hobbies_9,0.9399239981870392
auto_model_36,0.9363896907589412
incident_date_58,0.9321886005414479
insured_hobbies_17,0.8596635744639597
incident_location_293,0.858566196637713
policy_bind_date_513,0.858566196637713
auto_model_38,0.8436708993471449
auto_model_8,0.8313365276801463
incident_date_38,0.8219321912566455
auto_model_17,0.7806018421268147
incident_location_600,0.7740468318796623
policy_bind_date_181,0.7740468318796623
incident_location_300,0.7719406893523448
policy_bind_date_172,0.7719406893523448
